id,created_at,updated_at
196336,2016-09-02 12:50:56.0,2016-09-02 12:50:56.0
196337,2016-09-02 12:51:02.0,2016-09-02 12:51:02.0
196339,2016-09-02 12:51:12.0,2016-09-02 12:51:12.0
196341,2016-09-02 12:51:20.0,2016-09-02 12:51:20.0
196343,2016-09-02 12:51:36.0,2016-09-02 12:51:36.0
196338,2016-09-02 12:51:37.0,2016-09-02 12:51:37.0
196340,2016-09-02 12:51:46.0,2016-09-02 12:51:46.0
196346,2016-09-02 12:51:48.0,2016-09-02 12:51:48.0
196347,2016-09-02 12:51:51.0,2016-09-02 12:51:51.0
196348,2016-09-02 12:51:55.0,2016-09-02 12:51:55.0
196342,2016-09-02 12:52:02.0,2016-09-02 12:52:02.0
196351,2016-09-02 12:52:05.0,2016-09-02 12:52:05.0
196344,2016-09-02 12:52:10.0,2016-09-02 12:52:10.0
196345,2016-09-02 12:52:14.0,2016-09-02 12:52:14.0
196349,2016-09-02 12:52:30.0,2016-09-02 12:52:30.0
196353,2016-09-02 12:52:36.0,2016-09-02 12:52:36.0
196352,2016-09-02 12:52:40.0,2016-09-02 12:52:40.0
